,number of Autoencoders,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
106,107,0.9503,0.9939,0.8705,0.9967,0.9997,0.8356,0.5028,0.5504,0.8245
107,108,0.9506,0.9938,0.8704,0.9967,0.9997,0.8349,0.5029,0.5504,0.8243
108,109,0.9507,0.9938,0.8709,0.9967,0.9996,0.8349,0.5029,0.5504,0.8245
109,110,0.951,0.9938,0.8708,0.9967,0.9996,0.8338,0.5028,0.5504,0.8244
110,111,0.9509,0.9938,0.8706,0.9967,0.9996,0.8342,0.5029,0.5499,0.8244
111,112,0.951,0.9938,0.8706,0.9967,0.9996,0.8342,0.5029,0.5501,0.8243
112,113,0.9508,0.9938,0.8705,0.9967,0.9996,0.834,0.5029,0.5499,0.8244
113,114,0.9507,0.9938,0.8707,0.9967,0.9996,0.8342,0.5029,0.5504,0.8243
114,115,0.9506,0.9938,0.8706,0.9967,0.9996,0.8338,0.5028,0.5501,0.8243
115,116,0.9506,0.9938,0.8706,0.9967,0.9996,0.834,0.5028,0.5501,0.8242
116,117,0.9507,0.9938,0.8706,0.9967,0.9996,0.8337,0.5027,0.5504,0.8243
117,118,0.951,0.9938,0.8704,0.9967,0.9996,0.8337,0.5026,0.5504,0.8244
118,119,0.951,0.9938,0.8702,0.9967,0.9997,0.8335,0.5029,0.5504,0.8246
119,120,0.9511,0.9938,0.8702,0.9967,0.9996,0.8331,0.5028,0.5507,0.8247
120,121,0.9511,0.9938,0.8701,0.9967,0.9997,0.833,0.5032,0.5507,0.8245
121,122,0.9512,0.9938,0.8701,0.9967,0.9998,0.8328,0.5031,0.5501,0.8243
122,123,0.9511,0.9938,0.8699,0.9967,0.9998,0.8328,0.5029,0.5507,0.8245
123,124,0.9512,0.9938,0.8699,0.9967,0.9998,0.8328,0.5028,0.5507,0.8246
124,125,0.9511,0.9938,0.8698,0.9967,0.9997,0.8324,0.5028,0.5507,0.8246
125,126,0.9512,0.9938,0.8698,0.9967,0.9997,0.8327,0.5027,0.5507,0.8247
126,127,0.9511,0.9938,0.8696,0.9967,0.9998,0.8332,0.5028,0.5509,0.8247
127,128,0.9512,0.9938,0.8696,0.9967,0.9998,0.8331,0.5026,0.5507,0.8247
128,129,0.951,0.9938,0.8695,0.9967,0.9998,0.8334,0.5025,0.5507,0.8246
129,130,0.951,0.9938,0.8695,0.9967,0.9998,0.8334,0.5027,0.5509,0.8246
130,131,0.9513,0.9938,0.8694,0.9967,0.9998,0.8329,0.5025,0.5509,0.8247
131,132,0.9514,0.9938,0.8695,0.9967,0.9998,0.8332,0.5025,0.5509,0.8246
132,133,0.9513,0.9938,0.8695,0.9967,0.9998,0.8331,0.5024,0.5509,0.8245
133,134,0.9513,0.9938,0.8695,0.9967,0.9997,0.8331,0.5023,0.5512,0.8246
134,135,0.9514,0.9938,0.8694,0.9967,0.9997,0.8337,0.5023,0.5509,0.8245
135,136,0.9514,0.9939,0.8694,0.9967,0.9997,0.8332,0.5023,0.5507,0.8245
136,137,0.9513,0.9939,0.8695,0.9967,0.9997,0.8329,0.5024,0.5509,0.8244
137,138,0.9514,0.9939,0.8695,0.9967,0.9997,0.8328,0.5023,0.5507,0.8244
138,139,0.9515,0.9939,0.8695,0.9967,0.9997,0.8332,0.5022,0.5504,0.8242
139,140,0.9516,0.9939,0.8695,0.9967,0.9997,0.8328,0.5022,0.5507,0.8243
140,141,0.9514,0.9939,0.8694,0.9967,0.9997,0.8331,0.5022,0.5504,0.8244
141,142,0.9517,0.9939,0.8693,0.9967,0.9997,0.8332,0.5022,0.5499,0.8244
142,143,0.9518,0.9939,0.8702,0.9967,0.9997,0.8334,0.5022,0.5504,0.8246
143,144,0.9516,0.9939,0.8703,0.9967,0.9997,0.8328,0.5022,0.5501,0.8246
144,145,0.9518,0.9939,0.8703,0.9967,0.9997,0.8324,0.502,0.5504,0.8245
145,146,0.9518,0.9939,0.8703,0.9967,0.9997,0.832,0.5018,0.5504,0.8245
146,147,0.9518,0.9938,0.8701,0.9967,0.9997,0.8323,0.5018,0.5504,0.8245
147,148,0.9517,0.9939,0.8704,0.9967,0.9998,0.8323,0.5017,0.5504,0.8246
148,149,0.9517,0.9938,0.8702,0.9967,0.9998,0.8323,0.5017,0.5504,0.8246
149,150,0.9518,0.9938,0.8703,0.9967,0.9998,0.8322,0.5018,0.5501,0.8247
150,151,0.9517,0.9938,0.8702,0.9967,0.9998,0.8319,0.5018,0.5501,0.8246
151,152,0.9518,0.9938,0.8701,0.9967,0.9998,0.8319,0.5019,0.5501,0.8244
152,153,0.9516,0.9938,0.8699,0.9967,0.9998,0.8317,0.5019,0.5501,0.8244
153,154,0.9517,0.9938,0.8697,0.9967,0.9998,0.8318,0.5019,0.5501,0.8244
154,155,0.9519,0.9938,0.8696,0.9967,0.9998,0.832,0.502,0.5501,0.8245
155,156,0.952,0.9938,0.8696,0.9967,0.9997,0.8322,0.5021,0.5501,0.8245
156,157,0.9521,0.9938,0.8695,0.9967,0.9998,0.8319,0.5021,0.5501,0.8244
157,158,0.9521,0.9938,0.8695,0.9967,0.9998,0.832,0.5021,0.5501,0.8244
158,159,0.952,0.9938,0.8693,0.9967,0.9998,0.8333,0.5021,0.5501,0.8244
159,160,0.952,0.9938,0.8693,0.9967,0.9998,0.8334,0.502,0.5499,0.8245
160,161,0.952,0.9938,0.8692,0.9967,0.9997,0.8338,0.5021,0.5501,0.8245
161,162,0.952,0.9938,0.8692,0.9967,0.9998,0.8339,0.502,0.5501,0.8244
162,163,0.9519,0.9938,0.8691,0.9967,0.9997,0.834,0.5022,0.5501,0.8246
163,164,0.9519,0.9938,0.869,0.9967,0.9997,0.8336,0.5021,0.5501,0.8247
164,165,0.9519,0.9938,0.8689,0.9967,0.9997,0.8334,0.5022,0.5501,0.8246
165,166,0.9518,0.9938,0.8687,0.9967,0.9997,0.8331,0.5023,0.5501,0.8246
166,167,0.9519,0.9938,0.869,0.9967,0.9997,0.8334,0.5024,0.5501,0.8246
167,168,0.952,0.9938,0.8691,0.9967,0.9997,0.8331,0.5025,0.5501,0.8246
168,169,0.9519,0.9938,0.869,0.9967,0.9997,0.8331,0.5024,0.5501,0.8246
169,170,0.9519,0.9938,0.8693,0.9967,0.9997,0.8332,0.5023,0.5501,0.8246
170,171,0.9518,0.9938,0.8692,0.9967,0.9997,0.8336,0.5022,0.5504,0.8246
171,172,0.952,0.9938,0.8692,0.9967,0.9997,0.8345,0.5024,0.5507,0.8247
172,173,0.952,0.9938,0.8692,0.9967,0.9997,0.8342,0.5023,0.5504,0.8247
173,174,0.9518,0.9938,0.8692,0.9967,0.9997,0.8341,0.5024,0.5501,0.8248
174,175,0.9517,0.9938,0.8691,0.9967,0.9998,0.8342,0.5026,0.5504,0.8248
175,176,0.9518,0.9938,0.8694,0.9967,0.9998,0.8339,0.5026,0.5504,0.8246
176,177,0.9517,0.9938,0.8693,0.9967,0.9998,0.834,0.5025,0.5501,0.8245
177,178,0.9516,0.9938,0.8693,0.9967,0.9998,0.8339,0.5027,0.5501,0.8247
178,179,0.9516,0.9938,0.8693,0.9967,0.9998,0.8336,0.5029,0.5501,0.8248
179,180,0.9516,0.9938,0.8692,0.9967,0.9998,0.8335,0.5029,0.5504,0.8249
180,181,0.9517,0.9938,0.8692,0.9967,0.9998,0.8336,0.5029,0.5504,0.8248
181,182,0.9516,0.9938,0.8692,0.9967,0.9998,0.8334,0.5029,0.5501,0.8249
182,183,0.9517,0.9938,0.8691,0.9967,0.9998,0.8333,0.5029,0.5496,0.8249
183,184,0.9519,0.9938,0.8692,0.9967,0.9998,0.8332,0.503,0.5499,0.8249
184,185,0.9517,0.9938,0.8692,0.9967,0.9998,0.8333,0.503,0.5501,0.825
185,186,0.9518,0.9938,0.8692,0.9967,0.9998,0.8332,0.5031,0.5501,0.8249
186,187,0.9517,0.9938,0.8691,0.9967,0.9998,0.8332,0.5031,0.5501,0.8249
187,188,0.9517,0.9938,0.869,0.9967,0.9998,0.8332,0.5031,0.5499,0.8249
188,189,0.9518,0.9938,0.869,0.9967,0.9998,0.8335,0.5028,0.5496,0.825
189,190,0.9519,0.9937,0.8688,0.9967,0.9998,0.8337,0.5029,0.5499,0.8248
190,191,0.9517,0.9938,0.8688,0.9967,0.9998,0.8336,0.5028,0.5496,0.8249
191,192,0.9516,0.9937,0.8688,0.9967,0.9998,0.8335,0.5028,0.5496,0.8249
192,193,0.9515,0.9937,0.8688,0.9967,0.9998,0.8339,0.5027,0.5496,0.8249
193,194,0.9516,0.9938,0.8688,0.9967,0.9998,0.834,0.5027,0.5496,0.8249
194,195,0.9516,0.9937,0.8689,0.9967,0.9998,0.8342,0.5027,0.5496,0.8248
195,196,0.9517,0.9937,0.8689,0.9967,0.9998,0.8341,0.5028,0.5496,0.8247
196,197,0.9516,0.9937,0.8688,0.9967,0.9998,0.8344,0.5027,0.5496,0.8246
197,198,0.9517,0.9937,0.8688,0.9967,0.9998,0.8343,0.5026,0.5496,0.8247
198,199,0.9516,0.9937,0.8691,0.9967,0.9998,0.8343,0.5024,0.5496,0.8246
199,200,0.9515,0.9937,0.8692,0.9967,0.9998,0.8343,0.5023,0.5496,0.8245
