,number of Autoencoders,cardio,gas_drift
137,138,0.9514139979338843,0.9938751456386201
138,139,0.9514785640495866,0.9938903647687284
139,140,0.9516076962809916,0.9938852917253589
140,141,0.9514462809917354,0.9939005108554673
141,142,0.9517045454545454,0.9938717636097071
142,143,0.9517691115702479,0.9938751456386201
143,144,0.9516076962809917,0.9938649995518811
144,145,0.9517691115702479,0.9938717636097071
145,146,0.9518336776859504,0.9938666905663377
146,147,0.9517691115702479,0.9938413253494903
147,148,0.9517045454545454,0.9938649995518812
148,149,0.9517368285123966,0.9938463983928599
149,150,0.9517691115702479,0.9938413253494903
150,151,0.9517368285123966,0.9938463983928598
151,152,0.9518013946280991,0.9938463983928598
152,153,0.9516399793388429,0.9938345612916644
153,154,0.9517368285123966,0.9938058140459042
154,155,0.9518982438016528,0.9938379433205775
155,156,0.9519950929752066,0.993822724190469
156,157,0.9520919421487603,0.9938091960748172
157,158,0.9520596590909091,0.9938159601326432
158,159,0.9520273760330578,0.9938007410025348
159,160,0.9520273760330578,0.9937922859302524
160,161,0.9519628099173554,0.9937939769447088
161,162,0.9519628099173554,0.99378383085797
162,163,0.9519305268595041,0.9937905949157959
163,164,0.9518982438016528,0.9937905949157959
164,165,0.9518659607438016,0.9937838308579701
165,166,0.9518336776859504,0.9938024320169913
166,167,0.9518982438016529,0.993780448829057
167,168,0.9519950929752066,0.9937719937567746
168,169,0.9519305268595041,0.9937703027423181
169,170,0.9518659607438016,0.9937601566555793
170,171,0.9518013946280991,0.9937635386844922
171,172,0.9519628099173553,0.9937686117278617
172,173,0.9519628099173553,0.9937736847712311
173,174,0.9518013946280992,0.9937669207134052
174,175,0.9517045454545454,0.9937669207134052
175,176,0.9518013946280992,0.9937669207134052
176,177,0.9517045454545455,0.9937618476700357
177,178,0.9516076962809916,0.9937669207134052
178,179,0.9516076962809917,0.9937719937567746
179,180,0.951639979338843,0.9937567746266662
180,181,0.9516722623966942,0.9937635386844922
181,182,0.951639979338843,0.9937584656411228
182,183,0.9517368285123968,0.9937584656411228
183,184,0.9518659607438017,0.9937601566555793
184,185,0.9517045454545456,0.9937736847712311
185,186,0.951769111570248,0.9937669207134052
186,187,0.9517368285123968,0.9937736847712311
187,188,0.9517368285123968,0.9937736847712311
188,189,0.951769111570248,0.9937567746266663
189,190,0.9518659607438016,0.9937466285399275
190,191,0.9517368285123967,0.9937517015832968
191,192,0.9516076962809917,0.9937432465110143
192,193,0.9515431301652894,0.9937483195543839
193,194,0.9516076962809918,0.9937500105688404
194,195,0.9516399793388431,0.9937449375254709
195,196,0.9517045454545456,0.9937483195543839
196,197,0.951639979338843,0.9937398644821015
197,198,0.9516722623966943,0.9937449375254709
198,199,0.9515754132231407,0.9937398644821015
199,200,0.9515431301652894,0.993738173467645
