,number of Autoencoders,magic_telescope,pendigits,phoneme,waveform
60,61,0.9966751204686886,0.9997534516765285,0.8378497740317691,0.8246793412929052
61,62,0.9966989463479934,0.9997534516765285,0.8381220800518678,0.8243369941139628
62,63,0.9966944881313136,0.9997534516765285,0.8390930760282984,0.8243019813342982
63,64,0.9967150982477673,0.9997534516765285,0.8379512213725901,0.8241113562005689
64,65,0.9967303000357901,0.9997534516765285,0.8379214736561088,0.8239285116845427
65,66,0.9967283998122871,0.9997534516765285,0.8380198699490856,0.8238701570517684
66,67,0.9967294960950772,0.9997945430637738,0.837811635933716,0.8239168407579879
67,68,0.9967202142341212,0.9997945430637738,0.8380427528079175,0.8240218790969815
68,69,0.9967379009298013,0.9997945430637738,0.8380358879502681,0.8240957949651623
69,70,0.9967343197393537,0.9997945430637738,0.837500429053603,0.8243934035923113
70,71,0.996742359146481,0.9997945430637738,0.8371266756926832,0.8244225809086984
71,72,0.9967409705216136,0.9997945430637738,0.8356068724852692,0.8241619302156399
72,73,0.9967324195158509,0.9997945430637738,0.8353433382277224,0.8240957949651624
73,74,0.9967334427131216,0.9997945430637738,0.8351923113594325,0.8237962411835876
74,75,0.9967207623755162,0.9997945430637738,0.8346820236074827,0.8238040218012908
75,76,0.9967207258327565,0.999835634451019,0.83367365229496,0.8237981863380134
76,77,0.9967151713332867,0.9997945430637738,0.8337201807745848,0.8239596341553557
77,78,0.9966982885783193,0.9997945430637738,0.8340748650864781,0.8240160436337041
78,79,0.9966957305851425,0.9997945430637738,0.8343509849163822,0.8241736011421947
79,80,0.9966846215862027,0.9997945430637738,0.8341213935661029,0.8241308077448268
80,81,0.9967048662750598,0.9997534516765285,0.834474552354074,0.8240218790969815
81,82,0.9967017235977285,0.9997534516765285,0.8345142159760492,0.8240957949651624
82,83,0.9967202142341213,0.9997534516765285,0.8343219999618618,0.8240218790969815
83,84,0.9967327849434475,0.9997123602892833,0.8344409908277874,0.823842924889807
84,85,0.9967351236800662,0.9997123602892833,0.8350839991609619,0.8238973892137297
85,86,0.9967528834612659,0.9997123602892833,0.8346438855094298,0.8239479632288008
86,87,0.9967331503710443,0.9996712689020381,0.835342956846742,0.8239829760084654
87,88,0.996727742042613,0.9997123602892833,0.8353074884155527,0.8241658205244915
88,89,0.9967149520767287,0.9996712689020381,0.8349573806754257,0.8239635244642073
89,90,0.9967104207745295,0.9997123602892833,0.8347239755153412,0.8240607821854977
90,91,0.9967001888018221,0.9997123602892833,0.8352174825041475,0.8241385883625301
91,92,0.9966804557116004,0.9997123602892833,0.8348444919051887,0.8242514073192271
92,93,0.9966629882724782,0.9997123602892833,0.8345973570298049,0.8241891623776012
93,94,0.9966667156339646,0.9997123602892833,0.8356301367250815,0.8242552976280788
94,95,0.996668542771948,0.9997123602892833,0.8353532541332164,0.82442647121755
95,96,0.9966710276796057,0.9997123602892833,0.8357781125455275,0.824414800290995
96,97,0.9966802364550424,0.9997123602892833,0.8355271638603383,0.8243681165847757
97,98,0.9966735125872632,0.9997123602892833,0.8352968097480977,0.8245276192476921
98,99,0.9966948535589104,0.9997123602892833,0.8355775061497683,0.8244420324529566
99,100,0.9966906876843079,0.9997123602892833,0.8353677466104766,0.8244926064680275
100,101,0.9966964614403357,0.9997123602892833,0.8357819263553328,0.8245159483211373
101,102,0.996705524044734,0.9997123602892833,0.8354348696630499,0.824589864189318
102,103,0.9967121748269937,0.9997123602892833,0.8353021490818252,0.8245587417185051
103,104,0.9967284728978064,0.9997123602892833,0.8357666711161115,0.8245042773945823
104,105,0.9967258418191103,0.9997123602892833,0.8355321218130851,0.824477045232621
105,106,0.9967161579877978,0.9997123602892833,0.8358147251196583,0.8245198386299889
106,107,0.9967165599581542,0.9996712689020381,0.8356110676760551,0.8244614839972145
107,108,0.9967004811438995,0.9996712689020381,0.8348582216204877,0.8243214328785562
108,109,0.996690249171192,0.9996301775147929,0.8349070383859958,0.824477045232621
109,110,0.9966844023296448,0.9996301775147929,0.8337850155412749,0.8243797875113306
110,111,0.9966813327378325,0.9996301775147929,0.8341618199500391,0.8244303615264016
111,112,0.9966788478301749,0.9996301775147929,0.8342274174786904,0.8242903104077433
112,113,0.9966697852257769,0.9996301775147929,0.8339818081272288,0.8244420324529564
113,114,0.9966691274561028,0.9996301775147929,0.8341702103316108,0.8242864200988915
114,115,0.9966610880489755,0.9996301775147929,0.8338201025914838,0.8242708588634852
115,116,0.9966583107992405,0.9996301775147929,0.8340367269884251,0.8242280654661174
116,117,0.996666350206368,0.9996301775147929,0.8336667874373104,0.8243019813342981
